Maximum Infected,Eigenvalue 0,Eigenvalue 1,Eigenvalue 2,Eigenvalue 3,Eigenvalue 4,Eigenvalue 5,Eigenvalue 6,Eigenvalue 7,Eigenvalue 8,Eigenvalue 9,Eigenvalue 10,Eigenvalue 11,Eigenvalue 12,Eigenvalue 13,Eigenvalue 14,Eigenvalue 15,Eigenvalue 16,Eigenvalue 17,Eigenvalue 18,Eigenvalue 19,Eigenvalue 20,Eigenvalue 21,Eigenvalue 22,Eigenvalue 23,Eigenvalue 24,Eigenvalue 25,Eigenvalue 26,Eigenvalue 27,Eigenvalue 28,Eigenvalue 29,Eigenvalue 30,Eigenvalue 31,Eigenvalue 32,Eigenvalue 33,Eigenvalue 34,Eigenvalue 35,Eigenvalue 36,Eigenvalue 37,Eigenvalue 38,Eigenvalue 39,Eigenvalue 40,Eigenvalue 41,Eigenvalue 42,Eigenvalue 43,Eigenvalue 44,Eigenvalue 45,Eigenvalue 46,Eigenvalue 47,Eigenvalue 48,Eigenvalue 49,Eigenvalue 50,Eigenvalue 51,Eigenvalue 52,Eigenvalue 53,Eigenvalue 54,Eigenvalue 55,Eigenvalue 56,Eigenvalue 57,Eigenvalue 58,Eigenvalue 59,Eigenvalue 60,Eigenvalue 61,Eigenvalue 62,Eigenvalue 63,Eigenvalue 64,Eigenvalue 65,Eigenvalue 66,Eigenvalue 67,Eigenvalue 68,Eigenvalue 69,Eigenvalue 70,Eigenvalue 71,Eigenvalue 72,Eigenvalue 73,Eigenvalue 74,Eigenvalue 75,Eigenvalue 76,Eigenvalue 77,Eigenvalue 78,Eigenvalue 79,Eigenvalue 80,Eigenvalue 81,Eigenvalue 82,Eigenvalue 83,Eigenvalue 84,Eigenvalue 85,Eigenvalue 86,Eigenvalue 87,Eigenvalue 88,Eigenvalue 89,Eigenvalue 90,Eigenvalue 91,Eigenvalue 92,Eigenvalue 93,Eigenvalue 94,Eigenvalue 95,Eigenvalue 96,Eigenvalue 97,Eigenvalue 98,Eigenvalue 99
2960.0,-2.8421709430404007e-13,0.9168397507388022,0.9336961482218271,0.9653209230083917,0.9695604707950451,0.9820426526579809,1.006981806283818,1.0095840079554819,1.047051555021028,1.080979031447498,62.375568018870325,65.10265381598046,65.89878329312836,66.0559898684341,66.65469364849562,66.96070708350575,67.84433528633704,68.72494188674119,69.0655529927837,69.40740684419026,69.79343677784422,70.18475168070756,70.19120922598961,70.33011203561378,70.38972367696749,70.44501693329394,70.8055972607944,70.82340520972781,70.92151054308042,70.94860730997274,71.0653584962568,71.16234240836329,71.18047284131617,71.21817614091273,71.38747606544354,71.63631596740518,71.8176448187867,72.01154297902323,72.10887027994889,72.14799575231604,72.19869488448356,72.22901355774079,72.24736377356797,72.49005834624424,72.54428701206425,72.66152094997034,72.69852191438372,72.79570149993413,72.81220107851172,72.88845792279818,72.97674082348846,72.98920553585575,73.09034564871556,73.17725693158394,73.1858153619466,73.22467878579178,73.30009883048714,73.31419875147361,73.3525288274229,73.46592172219127,73.48947427145964,73.5026489534493,73.50722605569791,73.57093167998065,73.70139683463617,73.71931588323727,73.82754933694596,73.85028657548082,73.85702538385328,73.91644646346344,73.93871124136854,73.96358803047366,73.98861533924273,74.00987659548215,74.03346036439456,74.0423340368699,74.11622053749025,74.12598593088347,74.13528922021524,74.17281220571778,74.1903335494284,74.22717149478925,74.26499793681936,74.2848681976534,74.29898641388635,74.32753225495037,74.37409048103225,74.42945672128468,74.44558580554408,74.4544116738748,74.48679905127682,74.51534345747572,74.52520246816167,74.55240329661993,74.57767513788014,74.6276370873469,74.67552882810415,74.72534102805102,74.73673369660202,74.75185676260591
3398.0,1.4779288903810084e-12,1.8343639930893119,1.8802115529651928,1.903640420969964,1.9278897518317422,1.9486790356626216,1.9623689298358613,1.9913884472542236,2.010847143060289,2.0509004603290464,65.0430243765895,66.65400791141985,67.78587542826017,68.98201930702072,69.44268081317497,70.33305050230962,70.52634580930209,70.80856227723609,70.96172960670364,71.04827475361611,71.12821073616098,71.37688962674648,71.81614504169818,71.89503322380801,72.04556138779449,72.18528094494516,72.46018790270577,72.5649020125351,72.62192956629639,72.63586529593985,72.66690590737426,72.70769045564808,72.80685882024972,72.81642284784701,72.82578892676267,72.85916533089039,73.02461911841019,73.17902015498493,73.24953491954099,73.29174715061762,73.3155215794452,73.34850006267297,73.42216288676966,73.56344135988934,73.67933005730518,73.70040857243089,73.85326502940717,73.86229585733938,73.87366942609214,73.89377529638196,74.03341091044004,74.20542057308691,74.21153423884911,74.254885588827,74.26302810582635,74.28596746880254,74.32790024692434,74.33237661044075,74.39502106530924,74.56277620864356,74.70215450414713,74.74045750237039,74.75278528425116,74.78353574303989,74.85759959877782,74.8683121444478,74.88576083081728,74.90218507919334,74.91088745332056,74.93961639149174,74.96299340370962,74.9740664284675,74.99152365634751,75.01596492095302,75.03871912453661,75.05922519590803,75.06803530154124,75.06987981536349,75.09918836851759,75.12182406374743,75.18885815790568,75.19534118554878,75.24420883432197,75.26788062866694,75.2751771512421,75.2817541425452,75.30483075736649,75.36102010680654,75.3825127276846,75.40512946925537,75.47154757980564,75.49460184235332,75.53483962496128,75.54413753619613,75.57140779173909,75.60084540614028,75.62418134154973,75.66183867053795,75.69487157468558,75.69573514946867
3302.0,-7.958078640513122e-13,2.862280453211781,2.8840594240414816,2.9185620707295357,2.93262433211828,3.0010882674238246,3.02458629420056,3.052004161047421,3.0752803571592153,3.1162545347250443,68.69422516233374,69.57366933092584,70.5819186962199,70.82892209094956,71.0582371930208,71.40557062349063,72.11718696431129,72.1452165749366,72.25187132959903,72.25836236362451,72.3854993779039,72.6688718468701,72.71394076537231,72.76740343624843,72.86053426605724,72.95835650475874,73.09185173393911,73.25684336885925,73.27442822140898,73.27605499051438,73.32441493092008,73.44593699363534,73.48676405440187,73.57881883271233,73.71741244245632,73.73062680702216,73.76291684085194,73.85823987541607,74.14031103449886,74.15911065098456,74.19748091614619,74.28474096638021,74.4316141992737,74.4875218665398,74.49432093648062,74.51784357067433,74.56330516152275,74.589669546657,74.64005488377256,74.65961228606247,74.67434438703185,74.69470405890075,74.72159769674263,74.73684911646379,74.8488229411123,74.90652880289989,75.08006061948487,75.09560783818637,75.11019819669534,75.17544592705082,75.21457575136472,75.22739906460427,75.25247499570779,75.27720380486323,75.29841077920355,75.31334324228209,75.32889354265942,75.41042847646432,75.44187495617473,75.54406356552977,75.5701777314203,75.60625461178083,75.64468663130353,75.65257573272831,75.68590090414204,75.70111233046336,75.70865727194985,75.72042391228942,75.75856137096622,75.7698607391768,75.78354760545784,75.79266272895018,75.84739966851933,75.87986371631814,75.9162963100562,75.94506856880045,75.9735738324616,76.00658117851711,76.03427257757926,76.06036849918218,76.08108936218352,76.09691325723992,76.10936948097589,76.13723332831566,76.15009745563384,76.18366772171223,76.20827791413532,76.22114088236683,76.2371050243944,76.24917062090353
3785.0,-1.1368683772161603e-13,3.7833443050921005,3.857988737678454,3.8997562032859037,3.9100197288183836,3.9166939894736856,3.9663049569863347,3.997570002871214,4.035467191850046,4.055348825930821,66.18985706087321,67.99919365475458,69.75024455467369,70.47774485050533,70.54277232551021,70.90178573201462,71.32152586125014,71.39860215896405,71.49371046434914,71.85702977872955,72.17677025959986,72.2494853866026,72.35742424230943,72.4325474888391,72.5461484296153,72.67001985344424,72.77298179718002,72.81061366082781,72.95033813355516,73.15279271995013,73.15563670951519,73.24889052877762,73.45893605411118,73.6840796567694,73.73555214516796,73.7930363848237,73.81761702783609,73.83306314686612,73.91595477284295,74.03334097409578,74.04882568779678,74.07764741892069,74.21582119224297,74.22821046688827,74.28092813603865,74.30689838637824,74.32097481280329,74.51522405226052,74.57525087326877,74.8656806065257,74.90808179103044,74.9438220752983,74.95713141153354,75.03339287725888,75.06898536752942,75.09998541790083,75.10253236909352,75.17839494559243,75.20340403604078,75.38485414236578,75.4190679453198,75.43297232801262,75.51885367298564,75.54353255052595,75.57560928225669,75.5912792084954,75.61259409644134,75.65135715452593,75.75959937043189,75.77944529822321,75.80088432632891,75.82123992821198,75.87904819241061,75.93014413211338,75.94823038698692,75.97317832619086,75.99709650485039,76.00197336038272,76.02977898919048,76.04053952219411,76.08441613057059,76.13757233783167,76.23830794489473,76.26436508350739,76.28874918880655,76.31107972915979,76.35383196240352,76.40026488297778,76.41531252912344,76.42918388913444,76.46684095690975,76.48796330982157,76.55756505503143,76.57866691724072,76.5949539782456,76.60691198760688,76.6173044233332,76.62192052172642,76.66658586842075,76.69651590421284
3491.0,-3.979039320256561e-13,4.77963083362647,4.786641808324987,4.822926777628538,4.8555246476846605,4.8773902357444285,4.902228059245147,4.929897770040327,4.95276048908687,5.064789304963824,65.29050703041477,68.88374645201043,69.2138951753704,70.6344512253292,70.66834590060051,71.16947578155049,71.48315661829557,72.11855833749934,72.35265172616039,72.39582652651805,72.4520475846549,73.01951328886062,73.07387299264727,73.13687198127494,73.28857156112099,73.67355146316422,73.85824942410463,73.98392700727501,74.01323661198907,74.10457879706979,74.17224469495912,74.20319069219832,74.24831994800286,74.75987613212351,74.78672831670903,74.82961303385133,74.99536287661772,75.01016597625528,75.0119125884361,75.0499136690052,75.08014920450151,75.1898024278735,75.23617286254213,75.25919371440025,75.35423752073976,75.52519523489687,75.53619019298318,75.57244545522508,75.65157911491696,75.65654491269129,75.7315195639224,75.84212601614581,76.1108698873432,76.23177524511723,76.26560744937524,76.30483674869163,76.34429750923562,76.46414436442356,76.4774880808668,76.52637650823672,76.54618913768081,76.56485972521111,76.63650876237563,76.64036989618984,76.68147465529881,76.72775451422666,76.75281918180431,76.8392425032811,76.9319279725247,76.98465153051296,76.99511093816261,77.06416634166604,77.07967008097526,77.09908505255402,77.16660894984386,77.19037302491788,77.19591053901104,77.22388484574691,77.24632908916689,77.27450021961701,77.29202460055112,77.33009452926544,77.35027157066531,77.37499671750112,77.38728400599896,77.41122648821536,77.4315198560879,77.44837049442836,77.47919498463145,77.50407519627726,77.53929009588052,77.55786663201224,77.57307991438003,77.60778626629866,77.63615637525658,77.66214664720604,77.7228639121108,77.73050388215057,77.74173913063677,77.75385573304482
3122.0,1.7053025658242404e-13,0.9349534856640958,0.9565693885183464,0.9698880386637256,0.987918927511771,0.9896695538882341,0.9960330119812397,1.0264934286070115,1.039144891740932,1.0571047923800734,67.70024451386683,68.51418760957117,68.56940630068723,68.57694721128198,68.59454797271474,69.34632466507941,69.35032224301312,70.02542229484146,70.05687815256329,70.1927750978571,70.27275080197956,70.33513662925859,70.39832159327472,70.49398294359153,70.62184417493481,71.03694826659401,71.25943382534427,71.49342882311635,71.64018623601322,71.64889414509068,71.71259930275008,71.76739418935,71.81378130380472,71.87055222830892,72.45263929189406,72.45656531289842,72.50321456922768,72.56768345153102,72.71466626380368,72.74737115367125,72.78872911558182,72.83963187359296,72.86644449508532,72.90117305362966,72.97829699491126,73.05279288983655,73.14645835347054,73.24597739816406,73.27317792639585,73.31587528759138,73.3315579100705,73.3703459805649,73.37846657396724,73.42052140297079,73.42661174608168,73.51693546590874,73.5599198332799,73.56891057207184,73.58394389248625,73.5882706134897,73.60547825614802,73.66060398076647,73.7533713348075,73.79277823519612,73.80237132127084,73.8362901490685,73.85603756715534,73.87720461352328,73.89336788332994,73.92091318071405,73.93074713971865,73.94698910505792,73.97777487146556,73.98346669280875,74.02366803734085,74.08930841558998,74.1145287102253,74.18472324522153,74.18941098325053,74.20031627800918,74.24133250088136,74.2467034129676,74.28452756902968,74.32475002151341,74.35945398687147,74.36362633650671,74.36474579565686,74.41652197835538,74.43076876584985,74.43657685493042,74.45893107180575,74.47545336130048,74.49345754187175,74.51220855238228,74.52399083407266,74.61578794463665,74.65644450129315,74.66368999267002,74.687271135402,74.69515091508799
3216.0,-7.389644451905042e-13,1.8965446031846795,1.9438670249882648,1.9663906662478894,1.9744084286642192,2.0020994883925596,2.021811112234957,2.0288884221144485,2.06464700008479,2.080641969379144,66.05469936372657,66.07405218593084,67.03658140898267,67.89005509873735,67.96810265712975,68.69894506987634,69.69854257569872,70.25813041541244,70.4081945461538,70.42226679889933,71.21509516326418,71.3754281712284,71.6719668610977,71.7158723014137,71.81976532040255,71.92642524345655,72.20177097180263,72.27940555917749,72.42675164142855,72.5280287653002,72.61519719943789,72.65690917593707,72.7685988034635,72.79584421547585,73.00952322408284,73.05346863920929,73.06603892074637,73.14769127221334,73.15929515900845,73.2571052381453,73.27060099649688,73.27846629760191,73.3554574126122,73.45190647773819,73.67912191160036,73.70860648011922,73.72296558406245,73.76284683093965,73.88158928847085,73.93474509298727,73.96318910536093,73.9937958926958,74.01717433838436,74.0200947433596,74.10655427330909,74.15660976104326,74.21666130336214,74.23189918667214,74.24010238565819,74.2750806386147,74.35286606937166,74.39768992427935,74.45469263965887,74.46420023624123,74.49610697482422,74.57455516652243,74.63424966760152,74.72006756848225,74.74601320978655,74.75603537831503,74.82258566732645,74.88741142298898,74.88944658832682,74.97134030634362,75.00826549307484,75.02630150204033,75.07528628639423,75.2041881489551,75.2344085480112,75.29614727130922,75.31617260856163,75.33855096870946,75.34580819540804,75.37267926618952,75.38784008757838,75.44801761552887,75.4915074149915,75.51238989111116,75.52601431851485,75.53283346829,75.57976893660165,75.60517363009478,75.61078029082898,75.62060970502117,75.6360155444928,75.66674111452309,75.7033861398649,75.73470321237036,75.7421596130473,75.75065806203085
3570.0,-6.821210263296962e-13,2.790857337111049,2.8031812081501926,2.869126084673667,2.8838570639576346,2.900416088874749,2.958240599991882,2.998993537288186,3.0240023514734844,3.0602671529848635,64.06119942835528,67.77102240256596,68.73860545283813,68.93694584266046,69.49814456398201,69.7189639257293,69.74250373556447,70.55426937833593,71.13899963942688,71.19233642178497,71.32744117828673,71.47430791975614,71.98556836746775,72.02958884380115,72.26122085981012,72.41619756090259,72.41921960148011,72.75191941995948,72.79468254599718,72.94958481455899,72.96823370343799,73.10571209708078,73.20643805305073,73.2807154673419,73.52443338977227,73.78516432840661,73.81158112664713,74.07039624986581,74.16179885832088,74.20220035413851,74.25874506489183,74.55076499412704,74.57034723172615,74.57565647567654,74.59738937665028,74.64165465509055,74.66861268125027,74.709715693569,74.72613629492739,74.7599376277241,74.9008396765839,74.95057412776535,75.01730399278307,75.0303412114396,75.08027657989345,75.11776182414548,75.15851804640627,75.20624595303181,75.28762997506183,75.34253833110941,75.36644058901996,75.43367609659757,75.44947344231409,75.4635715680601,75.50642731133803,75.547487302984,75.56063950675014,75.65042434603788,75.65678266852507,75.76963506199186,75.8055024207406,75.8503764071695,75.87319975073328,75.88675155097312,75.8940971622236,75.93785736184307,75.96446882523688,76.01144167168442,76.05980987346695,76.0823334668637,76.1015046354297,76.13232647867522,76.14258082333143,76.14960663349109,76.18303660472955,76.22313166054332,76.2364636264559,76.26810142552083,76.29223765711689,76.3054754773971,76.35515924990762,76.36049779858064,76.37868687855067,76.41495174810478,76.43933228488333,76.4654295252399,76.48524659998543,76.50243056705722,76.50982149545345,76.58146711938227
3559.0,-8.526512829121202e-13,3.8153601556927583,3.849539429267054,3.885204097569897,3.8954314765206277,3.9264820378562035,3.9433290333089985,3.9702912025053934,4.013708158713882,4.0322658569588725,66.06879592367457,66.99964105665595,67.64970476408075,68.83386155239356,69.52206742284818,70.27639721537358,70.39221843584806,70.43904059416542,70.49496348874635,71.38931912334917,71.69522746048204,72.25869271040477,72.28547961742234,72.86408465359261,72.93860445642213,72.9611797231965,72.98571463758074,72.99580688081656,73.0145431167796,73.09887624462294,73.24615067543601,73.26409696018729,73.33752773863986,73.44458579282744,73.61053781723476,73.67456862739516,73.73310220762718,73.80821264455454,73.85446968084418,73.89430884167373,73.93311290009308,73.94196592628646,73.95926475643654,74.27935995809014,74.37072961494474,74.39091628493938,74.41058597903412,74.50917443379325,74.5564941743248,74.69822888606765,74.70391916952968,74.76520309722451,74.82353098690444,74.85022153005255,74.8810712454214,75.0392089487045,75.05178756957426,75.06273462482491,75.06794142633919,75.08200920113998,75.10123101813977,75.15566180469008,75.27875445038157,75.289451303053,75.33178242475071,75.3942595934229,75.4432915218481,75.47735660677705,75.49168015273389,75.54838817317957,75.58332419311614,75.60022624036833,75.7307479745343,75.79739208364083,75.87566532318934,75.89642781240838,75.93522288906857,75.96382515052849,75.98508470716271,76.00625627772584,76.01611979005799,76.06999652778217,76.07507541861506,76.10016246198364,76.10785754885694,76.14779108909633,76.15847035489693,76.17445674163426,76.19536551540239,76.2028252171439,76.24917615437997,76.25219412221583,76.28074228844082,76.28527027023463,76.38645116534889,76.4224834239734,76.48097178008723,76.50367289987634,76.51563153205626,76.54042268099525
3892.0,-2.2737367544323206e-13,4.769560303395224,4.811490540271677,4.851542514975108,4.867814198298902,4.93035958161073,4.939262618411192,4.9965344229534026,5.039427978492711,5.074618010247093,64.36531484198207,67.95933281839763,68.00443683281446,68.04534192600622,68.90419751994625,70.45683256877717,70.5910705405793,71.7933491457577,72.14284584419323,72.22602917963843,72.34994983942605,72.42732330011034,72.47324645983934,72.61024273487024,72.81930248647473,73.59747368740139,73.61066747921902,73.63960051120782,73.8738281016968,73.90911838989885,74.01769805700621,74.10212359136304,74.10958323508592,74.53975597108226,74.5709194830853,74.63739589122264,74.66711144760552,74.73653547969354,74.8355191521837,74.8507008622694,74.87869129810744,74.8856015926618,74.90106735456658,74.99119882609031,75.02546006482322,75.0330966634576,75.07830736595736,75.15678245615482,75.22715874364081,75.23209496878053,75.27488145768663,75.28388849993976,75.49053089745743,75.5760789996009,75.72273955367251,75.7876870761614,75.83938179270996,75.87377325467571,76.00669526085815,76.07265572674072,76.1210311303332,76.14978789456129,76.18440776792059,76.2741198173133,76.29415775598093,76.32270751720242,76.34768410144574,76.39218172718296,76.3938503274189,76.49477367758135,76.57180327650312,76.61781353429987,76.62808042808607,76.65761116494005,76.68377053808058,76.75243142228928,76.79007048997016,76.91645876672257,76.98640788609845,77.01501117979677,77.04596014273378,77.06246490180948,77.12423303385697,77.14693946508771,77.22254687922404,77.24071714345476,77.26430991213724,77.27660171200233,77.29862645134457,77.33665500338975,77.37390083486432,77.3886297358444,77.40047036063501,77.42792019756831,77.5055533053046,77.51285317289899,77.53559585292413,77.5614994569369,77.58110858530813,77.60147893250368
